,Connected to robot,Number of exit queues,Transfer amount to CS,Total handle robot,Robot handle ratio,Robot actual completion ratio,Robot Success ratio,Date
1333,13283,0,4744,8539,64.29,64.29,64.29,2026-01-12
1334,13522,0,4676,8846,65.42,65.42,65.42,2026-01-13
1335,12311,0,4468,7843,63.71,63.71,63.71,2026-01-14
1336,12194,0,4342,7852,64.39,64.39,64.39,2026-01-15
1337,10840,0,3825,7015,64.71,64.71,64.71,2026-01-16
1338,10703,0,3666,7037,65.75,65.75,65.75,2026-01-17
1339,10237,0,3569,6668,65.14,65.14,65.14,2026-01-18
1340,11892,0,4301,7591,63.83,63.83,63.83,2026-01-19
1341,12224,0,4414,7810,63.89,63.89,63.89,2026-01-20
1342,12462,0,4464,7998,64.18,64.18,64.18,2026-01-21
1343,11534,1,4240,7294,63.24,63.23,63.23,2026-01-22
1344,13641,0,4831,8810,64.58,64.58,64.58,2026-01-23
1345,16016,1,5441,10575,66.03,66.02,66.02,2026-01-24
1346,13027,17,4586,8441,64.8,64.67,64.67,2026-01-25
1347,13490,0,4940,8550,63.38,63.38,63.38,2026-01-26
1348,12688,0,4666,8022,63.23,63.23,63.23,2026-01-27
1349,13394,0,4825,8569,63.98,63.98,63.98,2026-01-28
1350,12551,0,4612,7939,63.25,63.25,63.25,2026-01-29
1351,12955,0,4555,8400,64.84,64.84,64.84,2026-01-30
1352,12497,1,4483,8014,64.13,64.12,64.12,2026-01-31
1353,12439,0,4294,8145,65.48,65.48,65.48,2026-02-01
1354,13916,0,4969,8947,64.29,64.29,64.29,2026-02-02
1355,12551,0,4612,7939,63.25,63.25,63.25,2026-02-03
1356,12471,0,4481,7990,64.07,64.07,64.07,2026-02-04
1357,12564,0,4506,8058,64.14,64.14,64.14,2026-02-05
1358,11861,0,4158,7703,64.94,64.94,64.94,2026-02-06
1359,10740,0,3757,6983,65.02,65.02,65.02,2026-02-07
1360,10081,0,3577,6504,64.52,64.52,64.52,2026-02-08
1361,11700,0,4091,7609,65.03,65.03,65.03,2026-02-09
1362,12477,0,4693,7784,62.39,62.39,62.39,2026-02-10
1363,11741,0,4330,7411,63.12,63.12,63.12,2026-02-11
1364,10945,0,4087,6858,62.66,62.66,62.66,2026-02-12
1365,10908,0,3975,6933,63.56,63.56,63.56,2026-02-13
1366,10634,0,3774,6860,64.51,64.51,64.51,2026-02-14
1367,12182,107,4239,7943,65.2,64.33,64.33,2026-02-15
1368,11207,0,4042,7165,63.93,63.93,63.93,2026-02-16
1369,10543,1,3778,6765,64.17,64.16,64.16,2026-02-17
